Time,Open,High,Low,Close,Volume
04/20/2021 11:00:00,30.5007,30.7346,30.2317,30.6727,11440.79
04/20/2021 12:00:00,30.5996,30.5997,30.2013,30.2238,3649.41
04/20/2021 13:00:00,30.2916,30.9489,30.1776,30.9433,3304.16
04/20/2021 14:00:00,30.9431,30.9935,30.1145,30.1462,2295.7
04/20/2021 15:00:00,30.1504,30.2727,29.5401,30.121,2679.46
04/20/2021 16:00:00,30.1413,30.2923,29.8072,30.2578,6169.12
04/20/2021 17:00:00,30.2722,30.6819,30.1114,30.6817,3652.83
04/20/2021 18:00:00,30.6037,31.2948,30.4609,31.1156,3632.59
04/20/2021 19:00:00,31.22,31.88,31.22,31.6578,4236.9
04/20/2021 20:00:00,31.6753,31.8731,31.3171,31.3996,6648.96
04/20/2021 21:00:00,31.4638,31.8624,31.2509,31.7233,5543.38
04/20/2021 22:00:00,31.7652,32.1035,31.3054,31.9999,2768.98
04/20/2021 23:00:00,32.1035,32.2729,31.6579,32.0918,4986.55
04/21/2021 00:00:00,32.0318,32.5906,31.0849,31.2521,9625.8
04/21/2021 01:00:00,31.1375,32.4791,31,32.361,3907.98
04/21/2021 02:00:00,32.3635,32.7564,32.0031,32.4733,2720.99
04/21/2021 03:00:00,32.5622,32.6762,31.7045,31.7566,4210.18
04/21/2021 04:00:00,31.6922,32.1085,31.3795,32.0153,4738.51
04/21/2021 05:00:00,31.9245,32.0628,31.5824,31.7875,8797.03
04/21/2021 06:00:00,31.8563,32.317,31.6675,32.0487,1533.28
04/21/2021 07:00:00,32.0001,32.0001,31.385,31.4823,5563.22
04/21/2021 08:00:00,31.5403,32.518,31.1063,32.365,6361
04/21/2021 09:00:00,32.199,32.7861,32.1291,32.4662,1614.95
04/21/2021 10:00:00,32.5311,32.5311,31.3079,31.3711,3108.65
04/21/2021 11:00:00,31.371,31.84,30.5667,30.8557,5514.9
04/21/2021 12:00:00,30.7665,32.1428,30.7446,32.0416,6208
04/21/2021 13:00:00,32.0647,32.2448,31.8029,32.1896,2633.97
04/21/2021 14:00:00,32.1895,33.7677,31.8571,33.7676,14222.71
04/21/2021 15:00:00,33.7676,36.1572,33.424,35.612,34259.13
04/21/2021 16:00:00,35.6134,36.5513,34.6899,36.0021,40094.88
04/21/2021 17:00:00,35.9597,36.1429,34.9079,35.1086,15624.55
04/21/2021 18:00:00,35.2026,35.9,35.1348,35.1563,7289.42
04/21/2021 19:00:00,35.2163,35.4745,34.913,35.152,4643.39
04/21/2021 20:00:00,35.1804,35.1974,34.3547,34.7928,4203.28
04/21/2021 21:00:00,34.7776,34.9275,34.0534,34.0534,8453.33
04/21/2021 22:00:00,34.0407,34.7529,33.1192,33.7335,13868.48
04/21/2021 23:00:00,33.8119,34.1497,33,33.3846,7192.09
04/22/2021 00:00:00,33.3805,34.8175,32.6958,34.8175,11434.94
04/22/2021 01:00:00,34.8175,36.37,34.8133,35.1756,29037.51
04/22/2021 02:00:00,35.1665,36.0621,34.1428,35.9589,20681.35
04/22/2021 03:00:00,36.0422,37.23,35.5689,35.9704,22544.86
04/22/2021 04:00:00,36.0555,37.1428,35.9364,36.6921,23099.3
04/22/2021 05:00:00,36.6922,36.9707,35.5099,36.9457,16097.77
04/22/2021 06:00:00,36.9496,37.4059,36.4344,36.7974,8370.15
04/22/2021 07:00:00,36.8275,37.988,36.238,37.8531,15244.41
04/22/2021 08:00:00,37.8009,37.9246,36.4908,37.1777,7831.7
04/22/2021 09:00:00,37.2014,38.3592,37.009,37.8216,13601.77
04/22/2021 10:00:00,37.8059,37.8097,37.136,37.2394,5347.85
04/22/2021 11:00:00,37.2393,37.9854,37.0589,37.7713,7244.02
04/22/2021 12:00:00,37.8097,38.4,36.7986,36.7986,7706.2
04/22/2021 13:00:00,36.813,37.3372,36.3422,36.3422,6738.44
04/22/2021 14:00:00,36.3956,37.2901,36.3855,37.1892,5098.78
04/22/2021 15:00:00,37.1611,37.2522,36.5362,37.1277,4236.95
04/22/2021 16:00:00,37.1276,37.3846,36.1299,36.3778,7854.49
04/22/2021 17:00:00,36.3959,36.4467,35.0021,35.0964,13127.96
04/22/2021 18:00:00,35.018,35.9756,34.8867,35.6316,11837.68
04/22/2021 19:00:00,35.5839,35.9065,34.7182,35.4745,6728.37
04/22/2021 20:00:00,35.4511,35.4707,33.9275,33.9641,10574.07
04/22/2021 21:00:00,33.946,34.8095,32.8913,34.6129,12741.19
04/22/2021 22:00:00,34.7072,35.3605,34.2449,34.507,6713.41
04/22/2021 23:00:00,34.4431,35.3211,33.9672,33.9672,4420.58
04/23/2021 00:00:00,33.9545,35.0211,33.4075,33.5441,5716.22
04/23/2021 01:00:00,33.6124,33.9978,30.7943,32.6112,16881.32
04/23/2021 02:00:00,32.4986,32.9199,29.5714,31.9723,33339.57
